MentionID,TranscriptID,NewsProgram,ChannelType,TimePeriod,CaseID,IssueArea,CaseStage,WordCountRAND,MultiMention,MultiMentionType,MentionContext,AnchorOnly,Correspondent,Debate,NewsInterview
2003006PDMSNBC062904,MSNBC062904,Hardball,CableNews,2000_2018,2003006,FirstAmendment,PostDecision,81,0,NA,3,0,0,0,1
2001046PCFox100101,Fox100101,SpecialReport,CableNews,2000_2018,2001046,FirstAmendment,PostCert,44,1,Identical,1,0,1,0,0
2001063AABC022602,ABC022602,WorldNewsTonight,NetworkNews,2000_2018,2001063,FirstAmendment,Argument,49,0,NA,1,1,0,0,0
2001063CABC101501,ABC101501,WorldNewsTonight,NetworkNews,2000_2018,2001063,FirstAmendment,Cert,43,0,NA,1,1,0,0,0
2001063DFox061702,Fox061702,SpecialReport,CableNews,2000_2018,2001063,FirstAmendment,Decision,68,0,NA,1,1,0,0,0
2001064PCFox100101,Fox100101,SpecialReport,CableNews,2000_2018,2001064,EconomicActivity,PostCert,52,1,Separate,1,0,1,0,0
2009012PDFox051613,Fox051613,SpecialReport,CableNews,2000_2018,2009012,FirstAmendment,PostDecision,81,0,NA,3,0,0,1,0
2001072AABC031802,ABC031802,WorldNewsTonight,NetworkNews,2000_2018,2001072,EconomicActivity,Argument,22,0,NA,1,1,0,0,0
2001080AABC022002,ABC022002,WorldNewsTonight,NetworkNews,2000_2018,2001080,FirstAmendment,Argument,623,0,NA,1,0,1,0,0
2001080AFox022002,Fox022002,SpecialReport,CableNews,2000_2018,2001080,FirstAmendment,Argument,"1,749",1,Separate,1,0,1,0,1
2001080DABC062702,ABC062702,WorldNewsTonight,NetworkNews,2000_2018,2001080,FirstAmendment,Decision,375,0,NA,1,0,1,0,0
2001080DFox062702,Fox062702,SpecialReport,CableNews,2000_2018,2001080,FirstAmendment,Decision,865,0,NA,1,0,1,0,0
2001080DMSNBC062702,MSNBC062702,Hardball,CableNews,2000_2018,2001080,FirstAmendment,Decision,517,0,NA,1,0,0,0,1
2001080PCFox100101,Fox100101,SpecialReport,CableNews,2000_2018,2001080,FirstAmendment,PostCert,67,1,Separate,1,0,1,0,0
1999088PDFox110806,Fox110806,SpecialReport,CableNews,2000_2018,1999088,Abortion,PostDecision,82,1,Secondary,2,0,1,0,0
2002021AFox120402,Fox120402,SpecialReport,CableNews,2000_2018,2002021,Abortion,Argument,"1,610",0,NA,1,0,1,0,1
2002021DABC022603,ABC022603,WorldNewsTonight,NetworkNews,2000_2018,2002021,Abortion,Decision,90,0,NA,1,1,0,0,0
2002021DFox022603,Fox022603,SpecialReport,CableNews,2000_2018,2002021,Abortion,Decision,"1,665",0,NA,1,0,1,1,0
2002039CABC052802,ABC052802,WorldNewsTonight,NetworkNews,2000_2018,2002039,FirstAmendment,Cert,51,0,NA,1,1,0,0,0
2002049DABC050503,ABC050503,WorldNewsTonight,NetworkNews,2000_2018,2002049,FirstAmendment,Decision,44,0,NA,1,1,0,0,0
1999088PDFox012306,Fox012306,SpecialReport,CableNews,2000_2018,1999088,Abortion,PostDecision,84,1,Separate,2,0,0,1,0
2002076DABC062303,ABC062303,WorldNewsTonight,NetworkNews,2000_2018,2002076,FirstAmendment,Decision,73,0,NA,1,1,0,0,0
2002076DFox062303,Fox062303,SpecialReport,CableNews,2000_2018,2002076,FirstAmendment,Decision,72,0,NA,1,1,0,0,0
2017020PDFox062518,Fox062518,SpecialReport,CableNews,2000_2018,2017020,SexDiscrimination,PostDecision,84,0,NA,2,0,1,0,0
2002083CABC120202,ABC120202,WorldNewsTonight,NetworkNews,2000_2018,2002083,SexDiscrimination,Cert,60,0,NA,1,1,0,0,0
2002083DABC062603,ABC062603,WorldNewsTonight,NetworkNews,2000_2018,2002083,SexDiscrimination,Decision,982,0,NA,1,0,1,0,0
